Time,Pressure
0,5.568836086
0.01,5.440750901
0.02,6.012207879
0.03,5.27325489
0.04,5.558983379
0.05,9.638003925
0.06,24.58456105
0.07,25.54027378
0.08,25.71762254
0.09,29.76708586
0.1,29.68826416
0.11,36.14178718
0.12,55.86690887
0.13,66.96106054
0.14,69.30600655
0.15,67.11870353
0.16,63.37467268
0.17,60.97061153
0.18,59.71931745
0.19,58.28082189
0.2,60.13313123
0.21,59.7882864
0.22,59.52226327
0.23,62.68498298
0.24,62.02485144
0.25,61.82779726
0.26,61.83764996
0.27,61.54206869
0.28,62.7145411
0.29,63.88701359
0.3,65.4634471
0.31,65.93637718
0.32,64.48802887
0.33,66.09402054
0.34,64.13333132
0.35,65.33536187
0.36,63.12835495
0.37,67.41428365
0.38,65.04963332
0.39,63.13820765
0.4,64.09392045
0.41,61.68000667
0.42,64.16288942
0.43,65.88711362
0.44,64.49788156
0.45,65.61123775
0.46,62.34013818
0.47,65.49300523
0.48,67.61133785
0.49,67.71971766
0.5,65.79843924
0.51,66.02505157
0.52,66.35019098
0.53,64.40920719
0.54,66.31078015
0.55,66.03490427
0.56,65.36492003
0.57,67.0595861
0.58,66.81326835
0.59,65.88711365
0.6,65.18757131
0.61,69.70996511
0.62,70.85287949
0.63,67.44384184
0.64,72.81356893
0.65,70.32083318
0.66,69.97598839
0.67,74.89249085
0.68,75.16836668
0.69,74.45897162
0.7,77.7596296
0.71,79.74002457
0.72,77.17831974
0.73,81.49380712
0.74,82.32143495
0.75,81.5627762
0.76,84.10477563
0.77,84.59741134
0.78,85.65165135
0.79,86.82412403
0.8,85.83885302
0.81,86.57780627
0.82,89.16906949
0.83,89.66170523
0.84,91.71106935
0.85,92.81457304
0.86,91.31696087
0.87,95.36642559
0.88,93.53382103
0.89,92.47958092
0.9,93.76043341
0.91,95.31716201
0.92,94.53879781
0.93,97.10050303
0.94,98.47003015
0.95,95.97729382
0.96,96.07582096
0.97,99.36662704
0.98,98.42076659
0.99,94.75555747
1,95.15951861
1.01,96.02655732
1.02,94.62747217
1.03,95.88861943
1.04,98.23356504
1.05,97.11035574
1.06,93.44514663
1.07,95.07084419
1.08,93.92792952
1.09,94.54865043
1.1,93.48455757
1.11,95.01172792
1.12,96.70639453
1.13,94.80482102
1.14,92.08547232
1.15,96.42066584
1.16,95.317162
1.17,93.06089091
1.18,94.6176194
1.19,93.75058069
1.2,90.932705
1.21,88.57790678
1.22,89.30700744
1.23,91.26769717
1.24,88.44982154
1.25,88.15424027
1.26,91.74062738
1.27,90.65682902
1.28,87.73057357
1.29,89.84890661
1.3,90.21345695
1.31,91.78003824
1.32,90.87358879
1.33,92.73575134
1.34,93.97719309
1.35,92.81457307
1.36,89.54347258
1.37,94.39100702
1.38,95.15951861
1.39,93.74072814
1.4,96.12508445
1.41,97.12020846
1.42,94.71614658
1.43,94.23336369
1.44,95.26789844
1.45,97.32711543
1.46,94.69644118
1.47,93.88851881
1.48,96.46007675
1.49,94.40085975
1.5,91.62239497
1.51,94.7654101
1.52,96.94285964
1.53,95.75068139
1.54,94.88364283
1.55,95.33686744
1.56,97.19903016
1.57,95.85906133
1.58,96.41081317
1.59,100.6277744
1.6,99.22868905
1.61,96.90344886
1.62,95.31716207
1.63,98.13503791
1.64,98.4995883
1.65,95.85906141
1.66,97.92813093
1.67,97.38623171
1.68,95.41568922
1.69,95.38613115
1.7,96.75565816
1.71,98.79516967
1.72,98.47003027
1.73,94.69644127
1.74,97.70151858
1.75,99.05134026
1.76,96.34184428
1.77,96.93300709
1.78,93.76043343
1.79,88.04586059
1.8,83.34611704
1.81,84.32153587
1.82,85.71076826
1.83,85.99649675
1.84,84.6072641
1.85,85.55312476
1.86,84.52844281
1.87,83.82890004
1.88,83.96683797
1.89,84.26241949
1.9,88.07541943
1.91,83.76978412
1.92,82.04556
1.93,84.81417272
1.94,80.88294148
1.95,77.85815894
1.96,80.97161718
1.97,80.7154469
1.98,78.89269531
1.99,76.17334588
2,77.0108271
2.01,78.4197653
2.02,76.73495037
2.03,75.48365575
2.04,76.05511295
2.05,77.73007422
2.06,74.91219786
2.07,76.83347632
2.08,78.04535966
2.09,79.32621231
2.1,79.74987783
2.11,81.51351302
2.12,84.97181466
2.13,84.99151998
2.14,84.05551241
2.15,85.92752776
2.16,83.76978383
2.17,83.32641178
2.18,81.50365996
2.19,84.97181448
2.2,86.73544998
2.21,86.72559695
2.22,88.60746496
2.23,90.16419342
2.24,89.14936408
2.25,86.58765894
2.26,87.45469764
2.27,87.90792246
2.28,87.53351928
2.29,87.7207208
2.3,97.19903043
2.31,95.24819308
2.32,90.18389898
2.33,89.45479816
2.34,89.56317799
2.35,88.84393005
2.36,84.53829514
2.37,83.60228735
2.38,82.50863637
2.39,81.90762107
2.4,81.08984608
2.41,79.94693151
2.42,80.61691581
2.43,75.60188611
2.44,72.05491074
2.45,70.13363247
2.46,67.3847262
2.47,68.17294314
2.48,66.85267995
2.49,67.09899739
2.5,69.70011286
2.51,66.93150113
2.52,65.53241636
2.53,71.13860809
2.54,69.78878681
2.55,65.87726092
2.56,68.39955465
2.57,65.77873381
2.58,69.03998081
2.59,66.37974912
2.6,66.05460969
2.61,65.81814467
2.62,64.18259488
2.63,69.03998093
2.64,66.06446263
2.65,65.59153276
2.66,62.71454174
2.67,46.74330313
2.68,42.71354633
2.69,44.77276299
2.7,42.71354639
2.71,42.09282549
2.72,43.75793324
2.73,43.74808076
2.74,41.81694977
2.75,40.96961658
2.76,39.23553958
2.77,39.36362484
2.78,38.45717564
2.79,40.78241511
2.8,37.99409822
2.81,37.62954783
2.82,37.79704371
2.83,38.1320361
2.84,38.53599722
2.85,37.21573399
2.86,37.33396665
2.87,36.99897463
2.88,37.82660195
2.89,37.21573422
2.9,36.53589706
2.91,36.40781205
2.92,36.56545523
2.93,36.93000561
2.94,36.93000556
2.95,36.29943223
2.96,37.23543955
2.97,35.99399817
2.98,37.59999003
2.99,37.81674943
3,36.51619188
3.01,37.84630765
3.02,38.49658609
3.03,36.76250959
3.04,35.88561851
3.05,38.3487958
3.06,36.22061054
3.07,36.65412983
3.08,36.95956381
3.09,37.48175743
3.1,36.75265684
3.11,36.29943252
3.12,34.66388254
3.13,35.87576594
3.14,35.74768062
3.15,36.65412976
3.16,36.01370375
3.17,37.10735446
3.18,38.23056366
3.19,38.33894341
3.2,39.34391971
3.21,40.42771792
3.22,39.54097398
3.23,40.53609786
3.24,40.8415318
3.25,40.59521397
3.26,40.97947
3.27,41.1962294
3.28,40.79226816
3.29,41.79724495
3.3,41.11740788
3.31,42.01400441
3.32,42.13223717
3.33,42.80222135
3.34,42.75295767
3.35,43.28500431
3.36,45.38363167
3.37,44.36880238
3.38,45.27525192
3.39,44.1027794
3.4,45.32451577
3.41,46.30978628
3.42,44.90084882
3.43,45.58068593
3.44,46.29993366
3.45,46.15214311
3.46,46.00435238
3.47,45.17672491
3.48,47.93548355
3.49,45.94523632
3.5,46.67433658
3.51,46.35904978
3.52,45.98464693
3.53,46.99947614
3.54,47.15711949
3.55,46.52654624
3.56,47.18667715
3.57,47.64975488
3.58,46.19155397
3.59,46.47728228
3.6,46.32949187
3.61,47.24579372
3.62,47.45270052
3.63,48.41826664
3.64,48.46753035
3.65,46.98962334
3.66,47.56108058
3.67,48.55620475
3.68,47.36402629
3.69,47.71872371
3.7,47.6103442
3.71,47.95518923
3.72,45.71862371
3.73,46.26052284
3.74,47.04873986
3.75,46.19155356
3.76,46.45757673
3.77,46.4674299
3.78,45.07819717
3.79,46.8024221
3.8,46.36890195
3.81,45.9649413
3.82,46.33934472
3.83,46.09302659
3.84,46.3491972
3.85,46.2014064
3.86,47.31476284
3.87,47.50196476
3.88,46.65463117
3.89,47.82710416
3.9,46.88124378
3.91,48.2803283
3.92,49.16707299
3.93,47.76798775
3.94,47.76798799
3.95,48.50694096
3.96,49.19663086
3.97,48.63502643
3.98,48.28032871
3.99,49.2754528
4,48.2409178
4.01,48.67443743
4.02,46.94036
4.03,48.18180163
4.04,47.2753519
4.05,48.28032854
4.06,47.34432134
4.07,46.74330567
4.08,46.5166935
4.09,47.81725115
4.1,47.59063932
4.11,47.41329006
4.12,47.35417376
4.13,48.39856077
4.14,47.59063915
4.15,46.87139103
4.16,47.3738793
4.17,47.94533663
4.18,46.74330583
4.19,47.44284848
4.2,48.04386371
4.21,48.5463521
4.22,47.30491048
4.23,49.47250735
4.24,48.22121287
4.25,49.56118163
4.26,48.73355364
4.27,48.35915066
4.28,49.41339095
4.29,48.77296454
4.3,50.60556899
4.31,49.99470073
4.32,50.63512724
4.33,49.64985591
4.34,49.80749932
4.35,50.773065
4.36,50.78291796
4.37,50.52674744
4.38,51.21643708
4.39,50.79277084
4.4,49.80749928
4.41,51.99480155
4.42,51.74848345
4.43,51.49231331
4.44,50.83218151
4.45,50.47748366
4.46,51.29525876
4.47,49.40353813
4.48,49.93558458
4.49,49.76808837
4.5,50.81247579
4.51,49.36412728
4.52,49.98484806
4.53,48.6448788
4.54,47.50196468
4.55,45.89597231
4.56,44.30968579
4.57,43.88601881
4.58,43.0288336
4.59,41.7282755
4.6,42.07312053
4.61,40.68388802
4.62,40.52624494
4.63,39.14686527
4.64,40.32919041
4.65,38.16159436
4.66,39.04833797
4.67,39.65920632
4.68,38.19115235
4.69,38.62467174
4.7,38.33894311
4.71,40.13213612
4.72,39.50156307
4.73,40.20110514
4.74,40.89079526
4.75,42.22091077
4.76,42.00415152
4.77,41.61004297
4.78,42.1716477
4.79,42.15194213
4.8,43.69881782
4.81,43.14706592
4.82,44.43777131
4.83,44.65453056
4.84,45.74818183
4.85,43.99439916
4.86,44.47718188
4.87,45.22598766
4.88,44.4279185
4.89,44.81217401
4.9,42.75295756
4.91,43.11750771
4.92,41.54107414
4.93,41.43269419
4.94,40.77256235
4.95,40.57550831
4.96,38.71334603
4.97,39.18627609
4.98,37.66895857
4.99,37.7083696
5,36.49648627
5.01,35.37327731
5.02,34.13183581
5.03,31.84600722
5.04,24.44662309
5.05,16.49548796
5.06,9.677414748
5.07,7.51967198
5.08,7.51967198
5.09,6.17970389
5.1,6.455579673
5.11,5.874269988
5.12,6.63292839
5.13,6.416168847
5.14,6.327494488
5.15,5.657510446
5.16,6.849687934
5.17,6.426021553
5.18,6.071324118
5.19,5.450603608
5.2,6.248672836
5.21,5.95309164
5.22,5.322518423
5.23,6.307789075
5.24,5.618099618
5.25,6.347199901
5.26,5.322518423
5.27,6.327494489
5.28,6.396463433
5.29,5.884122694
5.3,5.92353352
5.31,6.051618705
5.32,7.076300186
5.33,5.933386227
5.34,5.391487368
5.35,5.677215857
5.36,5.066348054
5.37,6.701897337
5.38,5.923533521
5.39,6.327494488
5.4,5.95309164
5.41,6.317641782
5.42,5.933386227
